id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
11,The Da Vinci Code,Dan Brown,American,Mystery,Thriller,English,2003,689,Doubleday,9780307474278,Robert Langdon,2.0,3.92,Multiple bestseller lists worldwide,"A mystery thriller involving art, history, and religious conspiracy theories featuring symbologist Robert Langdon","conspiracy, Leonardo da Vinci, Robert Langdon, symbology, Holy Grail, Paris",https://images-na.ssl-images-amazon.com/images/I/815WORuYMML.jpg
12,The Catcher in the Rye,J.D. Salinger,American,Literary Fiction,Coming-of-age,English,1951,234,"Little, Brown and Company",9780316769174,,,3.81,Modern classic of American literature,A story of teenage rebellion and alienation narrated by Holden Caulfield over a few days in New York City,"teenage angst, alienation, Holden Caulfield, rebellion, identity, adolescence",https://images-na.ssl-images-amazon.com/images/I/8125BDk3l9L.jpg
13,One Hundred Years of Solitude,Gabriel García Márquez,Colombian,Literary Fiction,Magic Realism,Spanish,1967,417,Harper & Row,9780060883287,,,4.11,Nobel Prize in Literature (1982),"A multi-generational story of the Buendía family in the fictional town of Macondo, blending reality and fantasy","magic realism, Macondo, Buendía family, Latin America, multi-generational, fate",https://images-na.ssl-images-amazon.com/images/I/91TvL0Y1UDL.jpg
14,The Bridges of Madison County,Robert James Waller,American,Romance,Contemporary Fiction,English,1992,171,Warner Books,9780446516563,,,3.85,International bestseller,A brief love affair between a National Geographic photographer and an Iowa housewife,"love affair, Iowa, photography, bridges, romance, forbidden love, choices",https://images-na.ssl-images-amazon.com/images/I/51VQZMX14VL.jpg
15,Brave New World,Aldous Huxley,British,Science Fiction,Dystopian,English,1932,311,Chatto & Windus,9780060850524,,,3.99,Modern Library's 100 Best Novels,A dystopian novel set in a futuristic World State where citizens are genetically modified and socially conditioned,"dystopia, genetic engineering, conditioning, soma, World State, conformity",https://images-na.ssl-images-amazon.com/images/I/81zE42gT3xL.jpg
16,Fahrenheit 451,Ray Bradbury,American,Science Fiction,Dystopian,English,1953,249,Ballantine Books,9781451673319,,,3.99,Prometheus Hall of Fame Award,A dystopian novel about a future where books are outlawed and firemen burn any that are found,"censorship, books, firemen, dystopia, Guy Montag, intellectual freedom",https://images-na.ssl-images-amazon.com/images/I/61l8LHt4MeL.jpg
17,The Kite Runner,Khaled Hosseini,Afghan-American,Historical Fiction,Drama,English,2003,371,Riverhead Books,9781594631931,,,4.34,#1 New York Times bestseller,"A story of friendship, betrayal and redemption set against the backdrop of Afghanistan's tumultuous history","Afghanistan, friendship, betrayal, redemption, kites, Amir, Hassan",https://images-na.ssl-images-amazon.com/images/I/81IzbD2IiIL.jpg
18,Life of Pi,Yann Martel,Canadian,Adventure,Philosophical Fiction,English,2001,319,Knopf Canada,9780156027328,,,3.93,Man Booker Prize (2002),"A boy's survival story after a shipwreck, stranded on a lifeboat with a Bengal tiger named Richard Parker","survival, shipwreck, tiger, ocean, faith, storytelling, Pi Patel",https://images-na.ssl-images-amazon.com/images/I/81QfU-E5pEL.jpg
19,The Handmaid's Tale,Margaret Atwood,Canadian,Dystopian Fiction,Science Fiction,English,1985,311,McClelland & Stewart,9780385490818,The Handmaid's Tale,1.0,4.13,"Governor General's Award, Arthur C. Clarke Award",A dystopian novel about a totalitarian society where women are subjugated and stripped of their rights,"dystopia, feminism, totalitarianism, Gilead, Offred, women's rights",https://images-na.ssl-images-amazon.com/images/I/71B84aY3ZvL.jpg
20,Normal People,Sally Rooney,Irish,Contemporary Fiction,Romance,English,2018,266,Faber and Faber,9781984822178,,,3.94,"Costa Novel Award, Waterstones Book of the Year","A story of two Irish teenagers and their complex, on-and-off relationship through school and university","Ireland, relationships, class, Marianne, Connell, young adults, intimacy",https://images-na.ssl-images-amazon.com/images/I/71mb8p6qpnL.jpg
21,The Goldfinch,Donna Tartt,American,Literary Fiction,Coming-of-age,English,2013,771,"Little, Brown and Company",9780316055437,,,3.91,Pulitzer Prize for Fiction (2014),A coming-of-age story centered around a stolen painting after a terrorist attack at an art museum,"art, painting, loss, coming of age, Theo Decker, New York, Amsterdam",https://images-na.ssl-images-amazon.com/images/I/71TYOhaYQDL.jpg
22,Beloved,Toni Morrison,American,Historical Fiction,Gothic,English,1987,324,Alfred A. Knopf,9781400033416,,,3.81,Pulitzer Prize for Fiction (1988),"A powerful story about slavery and its psychological aftermath, haunted by the ghost of a murdered child","slavery, trauma, ghost, Sethe, African American, memory, healing",https://images-na.ssl-images-amazon.com/images/I/81Qgp9rAXnL.jpg
23,The Color Purple,Alice Walker,American,Literary Fiction,Epistolary Novel,English,1982,295,Harcourt Brace Jovanovich,9780156028356,,,4.24,"Pulitzer Prize for Fiction (1983), National Book Award",An epistolary novel about African American women in the Southern United States in the 1930s,"African American, letters, South, Celie, abuse, resilience, sisterhood",https://images-na.ssl-images-amazon.com/images/I/81Lq5XcQcyL.jpg
24,The Shining,Stephen King,American,Horror,Psychological Thriller,English,1977,447,Doubleday,9780307743657,,,4.24,Locus Award nominee,A horror novel about a family's winter isolation at a haunted hotel in the Colorado Rockies,"horror, haunted hotel, isolation, Jack Torrance, Overlook Hotel, madness",https://images-na.ssl-images-amazon.com/images/I/91U7HNa2NQL.jpg
25,Dracula,Bram Stoker,Irish,Horror,Gothic Fiction,English,1897,418,Archibald Constable and Company,9780141439846,,,4.01,Classic of Gothic literature,The classic vampire novel told through letters and diary entries about Count Dracula's attempt to move to England,"vampire, Dracula, Transylvania, Van Helsing, Gothic, supernatural, blood",https://images-na.ssl-images-amazon.com/images/I/81XAUnB8BxL.jpg
26,Charlotte's Web,E.B. White,American,Children's Fiction,Animal Fiction,English,1952,192,Harper & Brothers,9780064400558,,,4.18,Newbery Honor,A tale of friendship between a pig named Wilbur and a spider named Charlotte who saves him from slaughter,"friendship, farm, spider, pig, Wilbur, Charlotte, life and death",https://images-na.ssl-images-amazon.com/images/I/71H0p8AKJqL.jpg
27,Anne of Green Gables,Lucy Maud Montgomery,Canadian,Children's Fiction,Coming-of-age,English,1908,320,L.C. Page & Co.,9780553213133,Anne of Green Gables,1.0,4.31,Classic of children's literature,"The story of an imaginative orphan girl adopted by siblings in Prince Edward Island, Canada","orphan, Anne Shirley, Prince Edward Island, imagination, friendship, growing up",https://images-na.ssl-images-amazon.com/images/I/81ih0OKKK2L.jpg
28,War and Peace,Leo Tolstoy,Russian,Historical Fiction,Epic,Russian,1869,1225,The Russian Messenger,9780307266934,,,4.12,Greatest novel ever written (numerous lists),"An epic novel about Russian society during the Napoleonic era, following several aristocratic families","Napoleon, Russia, war, aristocracy, Pierre Bezukhov, Natasha Rostova, epic",https://images-na.ssl-images-amazon.com/images/I/81M+7MkVW-L.jpg
29,The Grapes of Wrath,John Steinbeck,American,Historical Fiction,Social Commentary,English,1939,464,The Viking Press,9780143039433,,,4.0,"Pulitzer Prize for Fiction (1940), National Book Award",A family's struggle during the Great Depression and their migration from Oklahoma to California,"Great Depression, Dust Bowl, migration, Joad family, Oklahoma, California, poverty",https://images-na.ssl-images-amazon.com/images/I/71hzY0U9URL.jpg
30,The Adventures of Tom Sawyer,Mark Twain,American,Adventure,Coming-of-age,English,1876,274,American Publishing Company,9780143039563,Tom Sawyer,1.0,3.93,American literary classic,Adventures of a boy growing up along the Mississippi River in the 1840s,"Tom Sawyer, Mississippi River, Huckleberry Finn, adventure, childhood, Missouri",https://images-na.ssl-images-amazon.com/images/I/71O9tXKjO+L.jpg
31,Treasure Island,Robert Louis Stevenson,Scottish,Adventure,Young Adult,English,1883,292,Cassell and Company,9780141321004,,,3.84,Classic adventure novel,A classic adventure tale of pirates and buried treasure told through the eyes of young Jim Hawkins,"pirates, treasure, Long John Silver, Jim Hawkins, island, adventure, mutiny",https://images-na.ssl-images-amazon.com/images/I/81aY+P4XvFL.jpg
32,The Girl with the Dragon Tattoo,Stieg Larsson,Swedish,Crime Fiction,Mystery Thriller,Swedish,2005,465,Norstedts Förlag,9780307949486,Millennium,1.0,4.16,Multiple international awards,A journalist and hacker investigate a decades-old disappearance in a wealthy Swedish family,"mystery, hacker, Lisbeth Salander, Sweden, investigation, thriller, corruption",https://images-na.ssl-images-amazon.com/images/I/81FexZGQIZL.jpg
33,Gone Girl,Gillian Flynn,American,Psychological Thriller,Mystery,English,2012,415,Crown Publishing Group,9780307588371,,,4.05,Goodreads Choice Award for Best Mystery & Thriller,A psychological thriller about a marriage gone terribly wrong when a wife disappears on their anniversary,"marriage, disappearance, twist, Amy Dunne, Nick Dunne, unreliable narrator",https://images-na.ssl-images-amazon.com/images/I/71q9mzMBNyL.jpg
